"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"cluster"	"ASV"	"Kingdom"	"present"	"lys_reads"	"hom_reads"
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SSJSP9"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	1297	382
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SSY7BM"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	0	6
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SUNVYF"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	18	205
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SUTTXP"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	1205	271
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SUXVVU"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	1072	904
"Coleophora"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Coleophoridae"	"SZCD49"	"Coleophoridae_cluster1"	"d72ed9fc3cc52f208a7b5652d0285994"	"Animalia"	0	356	28
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SASQEH"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	0	1501	769
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SDD4G5"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	0	10727	8398
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SFKMCD"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	1	8544	5400
"Delia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"SHLY4A"	"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	1	622	1048
